commonName,lat,lon,NbDocks,geometry,Station_number,Community
"River Street , Clerkenwell",51.529163,-0.10997,19,POINT (700457.6895490855 5712632.1372792665),1023,1
"Christopher Street, Liverpool Street",51.521283,-0.084605,32,POINT (702251.640902797 5711825.858795362),1012,1
"St. Chad's Street, King's Cross",51.530059,-0.120973,23,POINT (699690.7244891608 5712701.654961897),1013,0
"Sedding Street, Sloane Square",51.49313,-0.156876,27,POINT (697360.5455241217 5708498.365484301),3420,3
"Broadcasting House, Marylebone",51.518117,-0.144228,18,POINT (698129.9010837389 5711310.670292128),3424,0
"Charlbert Street, St. John's Wood",51.5343,-0.168074,16,POINT (696406.1191667509 5713045.626331833),3422,0
"New Globe Walk, Bankside",51.507385,-0.09644,19,POINT (701492.1098577491 5710247.99872348),1015,2
"Park Street, Bankside",51.505974,-0.092754,18,POINT (701754.0854808401 5710101.280816227),1024,2
"Brunswick Square, Bloomsbury",51.523951,-0.122502,24,POINT (699611.4163656881 5712018.380143867),1022,0
"Malet Street, Bloomsbury",51.52168,-0.130431,49,POINT (699071.3953932829 5711744.275086651),980,0
"Scala Street, Fitzrovia",51.519914,-0.136039,21,POINT (698690.1128155339 5711532.678439824),970,0
"Argyle Street, Kings Cross",51.529416,-0.123944,45,POINT (699487.5055428941 5712622.056573413),1011,0
"Great Russell Street, Bloomsbury",51.517727,-0.127854,26,POINT (699267.3978985668 5711311.788770915),988,0
"Cartwright Gardens , Bloomsbury",51.526357,-0.125979,21,POINT (699359.7494795077 5712276.4009797955),1010,0
"Hatton Wall, Holborn",51.521661,-0.109006,26,POINT (700557.5179070572 5711800.693465647),1008,1
"Drury Lane, Covent Garden",51.51477,-0.122219,27,POINT (699671.2129700341 5710998.3896947885),1007,0
"Taviton Street, Bloomsbury",51.52505,-0.131161,30,POINT (699006.0630774255 5712116.973011884),1009,0
"Drummond Street , Euston",51.527326,-0.136052,28,POINT (698656.9362694563 5712356.727549303),993,0
"Northington Street , Holborn",51.522264,-0.114079,19,POINT (700203.0090038239 5711853.837899662),3425,0
"Red Lion Square, Holborn",51.519435,-0.119123,16,POINT (699865.5526481713 5711525.509333807),3421,0
"British Museum, Bloomsbury",51.51908,-0.124678,35,POINT (699481.790303905 5711470.875232247),981,0
"Doric Way , Somers Town",51.528833,-0.13225,50,POINT (698914.0400311323 5712534.613580225),1004,0
"Ampton Street , Clerkenwell",51.52728,-0.118295,21,POINT (699888.6133905658 5712399.995512439),1019,0
"Bouverie Street, Temple",51.513821,-0.107927,33,POINT (700666.8285649393 5710931.987707127),1021,2
"Bolsover Street, Fitzrovia",51.523518,-0.143613,19,POINT (698149.1060044516 5711912.833487239),1025,0
"Windsor Terrace, Hoxton",51.529154,-0.093421,24,POINT (701605.3761187105 5712676.627229066),1029,1
"Fanshaw Street, Hoxton",51.529537,-0.083353,36,POINT (702301.8755660217 5712747.0122642545),3427,1
"Leonard Circus , Shoreditch",51.524696,-0.084439,43,POINT (702248.0251150315 5712205.779659334),1020,1
"Central House, Aldgate",51.515231,-0.07015,18,POINT (703281.1985446087 5711193.0626632925),3430,1
"Pancras Road, King's Cross",51.534123,-0.129386,16,POINT (699089.5654579361 5713130.562144762),3428,0
"Shoreditch High Street, Shoreditch",51.526377,-0.07813,41,POINT (702678.1171697058 5712410.140615334),3445,1
"Commercial Street, Shoreditch",51.52127,-0.075578,16,POINT (702877.8123461218 5711849.4140026225),1083,1
"Pindar Street, Liverpool Street",51.520955,-0.083493,24,POINT (702330.2238314708 5711792.46688062),1084,1
"Wenlock Road , Hoxton",51.530991,-0.093903,28,POINT (701563.8326080084 5712879.539254069),979,1
"Crawford Street, Marylebone",51.52026,-0.157183,18,POINT (697222.0039486261 5711513.923644061),1036,0
"Bruton Street, Mayfair",51.510736,-0.144165,21,POINT (698166.3156989609 5710490.202837724),1034,0
"Boston Place, Marylebone",51.522511,-0.162298,26,POINT (696857.5019269667 5711750.417170171),1035,0
"Godliman Street, St. Paul's",51.512484,-0.099141,25,POINT (701282.2251579571 5710807.477017853),971,1
"Curzon Street, Mayfair",51.507069,-0.145904,16,POINT (698061.5783335255 5710077.787349085),3437,3
"Finsbury Library , Finsbury",51.526717,-0.104298,29,POINT (700861.8038857598 5712375.748676844),986,1
"Roscoe Street, St. Luke's",51.522954,-0.094934,18,POINT (701527.8383824888 5711983.131572056),1026,1
"Grafton Street, Mayfair",51.509992,-0.143495,18,POINT (698216.0289577442 5710409.2982946765),3431,3
"Golden Lane, Barbican",51.521747,-0.094475,27,POINT (701565.0056498937 5711850.200297283),967,1
"Finsbury Circus, Liverpool Street",51.517075,-0.086685,33,POINT (702126.0100996032 5711352.258191065),984,1
"Paddington Street, Marylebone",51.520583,-0.154701,16,POINT (697392.76493727 5711556.530966281),1033,0
"Guilford Street , Bloomsbury",51.523346,-0.120202,32,POINT (699773.5855847336 5711957.394637886),974,0
"New Inn Yard, Shoreditch",51.524526,-0.079248,20,POINT (702608.8015210904 5712201.246458163),1032,1
"Great Dover Street, The Borough",51.497382,-0.089446,33,POINT (702021.6171476815 5709155.140769568),1017,2
"Cotton Garden Estate, Kennington",51.490757,-0.106323,24,POINT (700879.5442850459 5708372.09889388),990,2
"Murray Grove , Hoxton",51.53089,-0.089782,27,POINT (701850.0523170141 5712879.676281598),989,1
"William IV Street, Strand",51.509462,-0.124749,26,POINT (699518.9060619209 5710401.33233581),1028,0
"Gower Place , Euston",51.525227,-0.135188,17,POINT (698725.9991034348 5712125.702721322),969,0
"Holborn Circus, Holborn",51.51795,-0.108657,40,POINT (700598.0375795757 5711389.054823046),982,1
"Hatton Garden, Holborn",51.518825,-0.108028,28,POINT (700637.821377374 5711488.064081278),985,1
"Theobald's Road , Holborn",51.520596,-0.116688,26,POINT (700029.3631982289 5711661.24809496),975,0
"Euston Road, Euston",51.526236,-0.134407,24,POINT (698775.7689970618 5712240.008187766),983,0
"Calshot Street , King's Cross",51.53136,-0.117069,24,POINT (699955.7530467254 5712856.970114164),1066,0
"Newgate Street , St. Paul's",51.515418,-0.09885,34,POINT (701289.4727155503 5711134.4843212925),1074,1
"Farringdon Lane, Clerkenwell",51.52352,-0.10834,16,POINT (700595.5384856656 5712009.206930471),3432,1
"Old Street Station, St. Luke's",51.525615,-0.088532,34,POINT (701960.0868601868 5712296.6448682),1064,1
"Torrens Street, Angel",51.532199,-0.10548,19,POINT (700755.7017089645 5712982.002092579),1060,1
"Longford Street, The Regent's Park",51.525595,-0.144083,21,POINT (698107.4891199076 5712142.486655317),976,0
"Russell Square Station, Bloomsbury",51.523418,-0.124121,26,POINT (699501.4585442204 5711954.702697668),978,0
"Sadlers Sports Centre, Finsbury",51.524868,-0.099489,17,POINT (701203.4727373193 5712183.392274016),3433,1
"Arundel Street, Temple",51.511726,-0.113855,18,POINT (700264.7838794502 5710682.816404603),3455,2
"Webber Street , Southwark",51.500693,-0.102091,45,POINT (701129.5123873923 5709488.4230754385),3448,2
"Great Titchfield Street, Fitzrovia",51.520253,-0.141327,19,POINT (698321.847951865 5711556.018079278),3450,0
"Panton Street, West End",51.509639,-0.13151,21,POINT (699049.0644819308 5710402.59342439),3452,3
"Breams Buildings, Holborn",51.515937,-0.111778,25,POINT (700390.3865247396 5711156.691134849),3449,1
"Tanner Street, Bermondsey",51.500647,-0.0786,41,POINT (702759.794276841 5709548.149848734),994,2
"Sancroft Street, Vauxhall",51.489479,-0.115156,24,POINT (700272.0753658137 5708205.796742623),3434,2
"Bayley Street , Bloomsbury",51.518587,-0.132053,25,POINT (698972.3794746381 5711395.974766878),1006,0
"Tavistock Place, Bloomsbury",51.52625,-0.123509,19,POINT (699531.5193631442 5712271.240219196),3439,0
"Harrington Square 1, Camden Town",51.533019,-0.139174,27,POINT (698415.6554384434 5712981.214701163),1038,0
"Walnut Tree Walk, Vauxhall",51.493686,-0.111014,20,POINT (700541.0962570903 5708684.881665021),1076,2
"Borough Road, Elephant & Castle",51.498898,-0.10044,41,POINT (701251.9889492306 5709293.392625363),1082,2
"Cloudesley Road, Angel",51.534408,-0.109025,37,POINT (700500.1666508615 5713217.877443359),2586,0
"Bricklayers Arms, Borough",51.495061,-0.085814,28,POINT (702283.9456401997 5708907.124622811),1070,2
"Aldersgate Street, Barbican",51.520841,-0.09734,15,POINT (701370.28869462 5711741.5781393135),1065,1
"Falkirk Street, Hoxton",51.53095,-0.078505,26,POINT (702631.795360232 5712917.5333549045),1047,1
"Hampstead Road, Euston",51.525542,-0.138231,54,POINT (698513.581574933 5712152.46139748),972,0
"Old Quebec Street, Marylebone",51.514577,-0.158264,16,POINT (697171.574640956 5710879.157249407),1085,0
"Albert Embankment, Vauxhall",51.490435,-0.122806,24,POINT (699736.9161094319 5708291.176671244),1059,3
"Queen Street 1, Bank",51.511553,-0.09294,22,POINT (701716.5259471744 5710721.048348314),999,2
"Jewry Street, Aldgate",51.513406,-0.076793,17,POINT (702828.4891520398 5710971.71664447),1045,1
"Crosswall, Tower",51.511594,-0.077121,34,POINT (702813.7865835119 5710769.347230517),991,2
"Woodstock Street, Mayfair",51.514105,-0.147301,21,POINT (697934.1392369713 5710856.286341023),1042,3
"Finsbury Leisure Centre, St. Luke's",51.526008,-0.096317,20,POINT (701418.433361303 5712318.870363641),1049,1
"Abbey Orchard Street, Westminster",51.498125,-0.132102,29,POINT (699058.1843214651 5709120.832141998),3429,3
"Park Lane , Hyde Park",51.510017,-0.157275,28,POINT (697259.8885787417 5710374.830105422),1037,3
"Park Road (Baker Street), The Regent's Park",51.524517,-0.158963,22,POINT (697080.1503651306 5711982.4314466),1050,0
"Braham Street, Aldgate",51.514233,-0.073537,34,POINT (703050.6851769448 5711072.6966822855),1062,1
"Little Argyll Street, West End",51.514499,-0.141423,21,POINT (698340.1951531571 5710916.013728848),995,0
"Lollard Street, Vauxhall",51.49288,-0.114934,25,POINT (700272.5722943861 5708584.532771733),998,2
"Rochester Row, Westminster",51.495827,-0.135478,13,POINT (698833.9078233389 5708856.156236973),3457,3
"Bath Street, St. Luke's",51.525893,-0.090847,18,POINT (701798.3034905228 5712321.163180962),964,1
"The Guildhall, Guildhall",51.515735,-0.09308,17,POINT (701688.3323643523 5711185.62280208),1044,1
"Baker Street, Marylebone",51.518913,-0.156166,22,POINT (697298.3696398009 5711366.903031797),1086,0
"Norton Folgate, Liverpool Street",51.521113,-0.078869,23,POINT (702650.2455996855 5711822.835067925),1068,1
"St. John Street, Finsbury",51.52836,-0.104724,18,POINT (700825.0268352113 5712557.2505305745),992,0
"Borough High Street, The Borough",51.500694,-0.094524,21,POINT (701654.5948996162 5709509.363867625),996,2
"Museum of London, Barbican",51.517821,-0.096496,52,POINT (701442.1607129959 5711408.133927811),1043,1
"Wood Street, Guildhall",51.517008,-0.093885,17,POINT (701626.8662450428 5711324.937425717),1063,1
"Tower Gardens , Tower",51.509506,-0.075459,24,POINT (702938.3703679261 5710541.810757227),1071,2
"Eversholt Street , Camden Town",51.533005,-0.136792,16,POINT (698580.8915070909 5712986.123613737),1005,0
"Bethnal Green Road, Shoreditch",51.523648,-0.074754,38,POINT (702924.3885539544 5712116.088579415),973,1
"Clerkenwell Green, Clerkenwell",51.52326,-0.104708,21,POINT (700848.5878878077 5711990.26726694),1053,1
"Queen Victoria Street, St. Paul's",51.511961,-0.097441,32,POINT (701402.4682499698 5710754.008276301),1048,1
"Green Street, Mayfair",51.512276,-0.157436,19,POINT (697238.9573082533 5710625.557819372),3464,3
"Lambeth Road, Vauxhall",51.494881,-0.117974,18,POINT (700052.8200848529 5708798.690926557),1078,2
"Finsbury Square , Moorgate",51.520962,-0.085634,33,POINT (702181.6916336799 5711787.324658935),1056,1
"Chapel Place, Marylebone",51.515308,-0.147203,29,POINT (697935.7204122903 5710990.304164591),1003,0
"Pont Street, Knightsbridge",51.496886,-0.161203,24,POINT (697044.0294389273 5708904.305299727),1114,3
"Kennington Cross, Kennington",51.48894,-0.111435,47,POINT (700532.7121863773 5708156.060665623),1093,2
"Portugal Street, Holborn",51.514943,-0.116146,16,POINT (700091.7418996827 5711034.218973272),3456,2
"Tachbrook Street, Victoria",51.492111,-0.138364,16,POINT (698649.7816713944 5708435.164853748),965,3
"Holy Trinity Brompton, Knightsbridge",51.497056,-0.168917,28,POINT (696507.9587419257 5708902.460507984),1002,3
"Hampton Street, Walworth",51.49217,-0.101536,21,POINT (701205.5708524947 5708542.35061525),1118,2
"Waterloo Station 3, Waterloo",51.503791,-0.112824,35,POINT (700371.1346097592 5709803.412460054),1072,1
"New Kent Road, The Borough",51.494436,-0.092921,33,POINT (701793.480279926 5708818.011829386),966,2
"Guildhouse Street, Victoria",51.492345,-0.141334,16,POINT (698442.6312718417 5708453.122597734),3478,3
"Southampton Place, Holborn",51.517606,-0.121328,20,POINT (699720.6108157118 5711316.134458206),1123,0
"Sloane Avenue, Knightsbridge",51.493184,-0.167894,27,POINT (696595.619012146 5708474.708891229),3461,3
"Seville Street, Knightsbridge",51.501855,-0.159237,27,POINT (697159.0121749275 5709462.068099589),1177,3
"Eccleston Place, Victoria",51.49395,-0.147624,19,POINT (697999.1160828781 5708614.530400084),3465,3
"Porchester Place, Paddington",51.514746,-0.165164,18,POINT (696692.1834554379 5710879.371178693),3477,0
"Hardwick Street, Clerkenwell",51.527842,-0.108068,30,POINT (700595.3992430664 5712490.481038712),1057,2
"Waterloo Road, South Bank",51.50486,-0.113001,15,POINT (700354.1619836745 5709921.780918404),1176,2
"Worship Street, Shoreditch",51.521668,-0.079608,51,POINT (702596.5240019922 5711882.493338758),997,1
"Ashley Place, Victoria",51.49616,-0.140947,25,POINT (698452.9142005045 5708878.332119274),1122,3
"Warwick Square, Pimlico",51.489856,-0.141923,19,POINT (698412.5626726621 5708174.793076584),3460,3
"North Audley Street, Mayfair",51.512911,-0.153645,17,POINT (697499.2097429214 5710706.387267728),1126,3
"Belgrave Square, Belgravia",51.499412,-0.152317,21,POINT (697649.769804957 5709209.120039323),3473,3
"Bell Street , Marylebone",51.522029,-0.165842,18,POINT (696613.7691852789 5711687.29439667),1166,0
"Portland Place, Marylebone",51.520715,-0.145211,34,POINT (698050.4386361018 5711596.8605049485),1164,0
"Nutford Place, Marylebone",51.516517,-0.164393,18,POINT (696738.0342662818 5711078.349632727),1112,0
"Claremont Square, Angel",51.531666,-0.109914,18,POINT (700450.5733692813 5712910.579283794),1104,1
"Rampayne Street, Pimlico",51.489975,-0.132845,21,POINT (699042.1364899756 5708212.677901914),1106,3
"Hyde Park Corner, Hyde Park",51.503117,-0.15352,36,POINT (697550.2588241849 5709617.80216424),1075,3
"Bankside Mix, Bankside",51.505817,-0.100186,60,POINT (701239.1183860234 5710063.355235913),963,2
"Hop Exchange, The Borough",51.504627,-0.091773,56,POINT (701828.1054024887 5709954.22561128),960,2
"Milroy Walk, South Bank",51.507244,-0.106237,30,POINT (700812.9990436445 5710205.383663368),959,2
"Union Street, The Borough",51.503688,-0.098497,17,POINT (701365.6975495903 5709831.297550218),961,2
"Stamford Street, South Bank",51.505569,-0.111606,27,POINT (700447.8419663649 5710004.430050333),962,2
"Great Tower Street, Monument",51.510484,-0.082989,24,POINT (702411.6171448953 5710629.683112142),1080,2
"Dorset Square, Marylebone",51.522596,-0.161113,16,POINT (696939.3258867175 5711763.057755013),1162,0
"Leman Street, Aldgate",51.512363,-0.069542,37,POINT (703336.1520216146 5710875.885859975),1102,2
"West Smithfield Rotunda, Farringdon",51.518218,-0.100791,15,POINT (701142.4854662002 5711440.453220594),1040,1
"Margery Street, Clerkenwell",51.526599,-0.112432,19,POINT (700298.2109869017 5712340.321191939),3468,0
"Grosvenor Crescent, Belgravia",51.501352,-0.153194,18,POINT (697580.5167388308 5709422.445313127),1169,3
"Mallory Street, Marylebone",51.525051,-0.166304,20,POINT (696568.7049591888 5712022.047996931),1175,0
"Denyer Street, Knightsbridge",51.493583,-0.165101,30,POINT (696787.7454808357 5708526.578618364),3454,3
"Hinde Street, Marylebone",51.516814,-0.151926,21,POINT (697601.5645267196 5711144.97576975),3476,0
"Cadogan Place, Knightsbridge",51.494645,-0.158105,34,POINT (697268.7046581212 5708663.492817283),3469,3
"Wellington Arch, Hyde Park",51.50274,-0.149569,36,POINT (697826.0470843634 5709586.562289312),1109,3
"Endsleigh Gardens, Euston",51.526838,-0.130504,32,POINT (699043.828334721 5712317.554971556),1079,0
"Moorfields, Moorgate",51.519069,-0.088285,54,POINT (702006.1965511078 5711569.533593395),1092,1
"Wormwood Street, Liverpool Street",51.516154,-0.082422,16,POINT (702425.8049719272 5711261.649177447),2587,2
"Chelsea Green, Chelsea",51.490664,-0.166485,15,POINT (696704.2608722919 5708198.315158906),1179,3
"Knightsbridge, Hyde Park",51.502757,-0.155349,43,POINT (697424.9033214339 5709572.839350017),1101,3
"Rodney Road , Walworth",51.491484,-0.09022,24,POINT (701993.9872298744 5708497.258144854),3481,2
"Charles II Street, West End",51.508446,-0.131961,24,POINT (699022.9759300154 5710268.726043618),3488,3
"Great Percy Street, Clerkenwell",51.528915,-0.11548,23,POINT (700076.6667236653 5712589.475706226),3470,0
"St. James's Square, St. James's",51.507424,-0.134621,40,POINT (698842.8755815497 5710147.864497575),1067,3
"Whitehall Place, Strand",51.506543,-0.123179,46,POINT (699640.5955244343 5710081.0753674535),1151,3
"Poured Lines, Bankside",51.506692,-0.103137,31,POINT (701030.5133750299 5710152.525584832),1144,2
"Carey Street, Holborn",51.51501,-0.112753,16,POINT (700326.8209982925 5711050.954953334),1139,2
"Kennington Road, Vauxhall",51.495718,-0.110889,36,POINT (700540.8492146147 5708911.14507304),1154,2
"Fashion Street, Whitechapel",51.51838,-0.073438,30,POINT (703039.1018201876 5711534.038994044),3483,1
"Warren Street Station, Euston",51.524438,-0.138019,26,POINT (698533.0887587536 5712030.291326325),1090,0
"Colombo Street, Southwark",51.505459,-0.105692,14,POINT (700858.6653365103 5710008.4207729325),3472,2
"Beaumont Street, Marylebone",51.522008,-0.151359,23,POINT (697618.4016948504 5711723.990769424),3482,0
"Gloucester Street, Pimlico",51.490962,-0.139625,25,POINT (698567.2562924501 5708303.993988025),1103,3
"Earnshaw Street , Covent Garden",51.516118,-0.128585,18,POINT (699223.7150822477 5711130.905426807),1145,0
"Berry Street, Clerkenwell",51.522853,-0.099994,41,POINT (701177.3332471119 5711957.972055708),1159,1
"St. John's Wood Church, The Regent's Park",51.530529,-0.167515,50,POINT (696461.1229211341 5712627.855651676),1091,0
"Triangle Car Park, Hyde Park",51.506451,-0.170279,27,POINT (696373.0306084738 5709943.366742465),1088,3
"Harper Road, The Borough",51.498597,-0.096191,42,POINT (701548.1743269765 5709271.623394633),1137,2
"Royal Avenue 1, Chelsea",51.489932,-0.162727,10,POINT (696968.2518235156 5708127.038331327),3440,3
"Brushfield Street, Liverpool Street",51.518908,-0.079249,34,POINT (702633.6802803889 5711576.627826137),1161,1
"Chadwell Street, Angel",51.530515,-0.106408,18,POINT (700698.7602220923 5712792.2246193625),3471,1
"Houghton Street, Strand",51.51362,-0.116764,15,POINT (700054.6700387071 5710885.434993641),3484,2
"Westminster University, Marylebone",51.522481,-0.154907,16,POINT (697370.2663804777 5711767.000095913),1194,0
"Bourne Street, Belgravia",51.490959,-0.153233,16,POINT (697622.7766833804 5708266.820844916),1180,3
"LSBU (Borough Road), Elephant & Castle",51.498744,-0.103132,35,POINT (701065.8570929484 5709268.869235024),1095,2
